municipio;estado;codigo;Total_Alunos;Relacao_cadastrados;Casos_per_capita;Mortes_per_capita;Relacao_casos_mes;Relacao_obitos_mes;Diferenca_aprovacao;Diferenca_reprovacao;Diferenca_desistencia;diferenca
Madeiro;Piauí;2205854.0;26.0;0.003128760529482551;0.0444043321299639;0.0002406738868832;0.0001203369434416;0.0;2.5;0.0;-2.5;80.99885189437427
Primeiro de Maio;Paraná;4120507.0;10.0;0.0008990380293086397;0.0133057628337678;0.0004495190146543;0.0052144205699901;8.990380293086398e-05;-0.20000000000000284;0.0;0.20000000000000018;47.77777777777778
Medeiros;Minas Gerais;3141306.0;2.0;0.0005260389268805891;0.0131509731720147;0.0002630194634402;0.0065754865860073;0.0;0.0;0.0;0.0;84.61538461538461
Moema;Minas Gerais;3142403.0;20.0;0.002660635891978183;0.0554742583477451;0.0002660635891978;0.0296660901955567;0.0;0.0;0.0;0.0;35.0
Alto Parnaíba;Maranhão;2100501.0;27.0;0.002412868632707775;0.0476318141197497;0.0003574620196604;0.0025915996425379;0.0;0.0;0.0;0.0;50.142450142450144
Bonópolis;Goiás;5203575.0;15.0;0.00340522133938706;0.0197502837684449;0.0002270147559591;0.0002270147559591;0.0;0.0;0.0;0.0;69.01960784313727
Novo Mundo;Mato Grosso;5106265.0;7.0;0.0007626933972543037;0.0283286118980169;0.000871649596862;0.004031379385487;0.0;4.0;-4.0;0.0;34.39153439153439
Taquaraçu de Minas;Minas Gerais;3168309.0;6.0;0.0014716703458425313;0.0289428501349031;0.0012263919548687;0.0098111356389502;0.0002452783909737;-13.799999999999997;-2.5;16.3;10.606060606060602
Bodoquena;Mato Grosso do Sul;5002159.0;31.0;0.003936507936507937;0.0111746031746031;0.0002539682539682;0.0008888888888888;0.0001269841269841;4.5;-4.5;0.0;20.16129032258064
Palmeirina;Pernambuco;2610103.0;29.0;0.0037696607305342518;0.0079292863642272;0.0003899649031587;0.0036396724294813;0.0001299883010529;1.4000000000000057;-1.4;0.0;55.45390570021112
Itapirapuã;Goiás;5211008.0;40.0;0.008004802881729037;0.0498298979387632;0.0006003602161296;0.0070042025215129;0.0;2.4000000000000057;-2.7;0.2999999999999998;61.66666666666666
